Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
Job Placement Scheme for Female Graduates,Address the economic and social drivers of conflict and violent extremism,Dec-14,Aug-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,Women's empowerment,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",IFTIN,NGOs,229200,63220,193303,0,256523,,Principal,Principal,Principal,,0.2,,0.2,0.2,0.2,0.2,,,0,12644,0,12644,12644,12644,12644,0,0,0,38661,0,38661,38661,38661,38661,0,0,0,0,0,0,0,0,0,0,0
Consortium Management,Address the economic and social drivers of conflict and violent extremism,Apr-15,Sep-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Insight Solutions,NGOs,198805,14875,129205,0,144080,,Significant,Significant,Significant,,0.166666667,0.166666667,0.166666667,0.166666667,0.166666667,,0.166666667,,0,2479,2479,2479,2479,2479,0,2479,0,0,21534,21534,21534,21534,21534,0,21534,0,0,0,0,0,0,0,0,0,0
Investment and Technical Support targeting youth-led business in Qardho,Address the economic and social drivers of conflict and violent extremism,Sep-15,Sep-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Micro-Dahab MFI Ltd,Private Sector,43780,0,27710,0,27710,,Significant,Principal,Principal,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27710,0,0,0,0,0,0,0,0,0,0,0,0
Stabilisation Plan Wajid,Address the economic and social drivers of conflict and violent extremism,,,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,SSF,Pooled,,Unclear / TBD,400000,0,400000,0,400000,,Significant,Significant,Principal,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,0
Local handscrafts support,,Jan-15,Sep-15,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,3500,3500,0,0,3500,,,,,,1,,,,,,,,0,3500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Women’s Economic Empowerment Project in Somalia," (i)   An   improved   enabling   environment   supporting   women's economic empowerment (ii) Increased capacity of women's associations to address barriers to employment and economic empowerment (iii) Increased  access to skills and financial/non-financial  business development services for improved income-generating capacity, productivity  and competitiveness",Jun-15,Jun-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UN WOMEN,GOVERNMENT OF SWEDEN,ILO,UN,399109,199530,199579,0,399109,,Principal,Significant,NA – not screened ,,0.333333333,,,,0.333333333,,0.333333333,,0,66510,0,0,0,66510,0,66510,0,0,66526,0,0,0,66526,0,66526,0,0,0,0,0,0,0,0,0,0
JOINT PROGRAMME ON YOUTH EMPLOYMENT - 3,"Sub-Outcome 1: Improved long-term potential for growth, productivity and inclusive employment through six value chains implementation plans. • Sub-Outcome 2 Enhanced longer-term employability of youth in sectors with high growth and employment potential. • Sub-Outcome 3: Productive infrastructure rehabilitated through labour-intensive methods",Jul-15,Dec-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UNDP,"Sweden, Denmark, Italy",UNDP,UN,8900500,214231,1034972,0,1249203,http://www.so.undp.org/,Significant,Significant,Significant,,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,,0,30604,30604,30604,30604,30604,30604,30604,0,0,147853,147853,147853,147853,147853,147853,147853,0,0,0,0,0,0,0,0,0,0
Trade and Private Sector Development,"To support Somalis in achieving their full economic potential, Somalia needs an enabling policy, legal and regulatory environment that is stable and transparent and that supports private–sector initiative. UNDP will, in collaboration with other specialized institutions, support such an environment by capitalizing on previous private-sector initiatives implemented by donors/organizations.",Dec-13,Dec-15,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UNDP,"UNDP, UNDP Sweden",UNDP,UN,661484,218964,21195,0,240159,http://www.so.undp.org/,Significant,Significant,Significant,,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,0.142857143,,0,31281,31281,31281,31281,31281,31281,31281,0,0,3028,3028,3028,3028,3028,3028,3028,0,0,0,0,0,0,0,0,0,0
Private Sector Development Re-engagement Program (SOM-PREP II),Improve access to markets and generate new employment in key productive and service sectors,Feb-11,Jun-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,WB,"WB, DANIDA, DfID, SPF",Government counterparts,Government,24000000,1250000,1000000,0,2250000,,Significant,Significant,Not targeted,0.05,,,,,0,,0.95,,62500,0,0,0,0,0,0,1187500,0,50000,0,0,0,0,0,0,950000,0,0,0,0,0,0,0,0,0,0
Employment Intensive Works for Youth in Gedo - 2,Address the economic and social drivers of conflict and violent extremism,Aug-15,Feb-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",CAFDARO,NGOs,377717,0,377716,0,377716,,Significant,Significant,Principal,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377716,0,0,0,0,0,0,0,0,0
Community Stabilization through Restoring Livelihoods for At Risk Youth along Key Border Areas between Kenya and Somalia (Dhobley),"To promote various technical assistance initiatives aimed at strengthening income generation, employment creation, and value addition in Dhobley for at-risk youth. ",Mar-16,Feb-17,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,Japan,Japan,UNIDO,UN,625000,0,625000,0,625000,,Significant,Principal,Principal,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625000,0,0,0,0,0,0,0,0,0
Community Stablization: Countering Violence and Extremism through Skills Training and Livelihoods Support for At-Risk Youth in Kismayo(CSR II),To stabilize the security situation by providing vocational training and livelihoods in Kismayo,Mar-15,Jul-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,Japan,Japan,UNIDO,UN,1050000,1050000,0,0,1050000,,Not targeted,Principal,Significant,,,,,1,,,,,0,0,0,0,1050000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Local Economic Development project (LED),"The Local Economic Development project (LED) aims to support rapid economic stabilization and recovery in Somalia through measures to enhance national and community capacities to identify and manage local economic development needs and priorities, address local infrastructure deficits, expand employment opportunities (particularly for women, youth, ex-combatants and other vulnerable groups) and improve the management of natural resources.",Jan-13,Dec-15,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UNDP,"UNDP, UNDP, Greece, Italy, Norway, UKFCO",UNDP,UN,7583981,1300399,228786,0,1529185,http://www.so.undp.org/,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,1300399,0,0,0,0,0,0,0,0,228786,0,0,0,0,0,0,0,0,0
Community Driven Reconstruction Programme,Strengthening revenue policy,Sep-12,Mar-16,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,UK,DFID,Danish Refugee Council,NGOs,6428571,2313464,0,0,2313464,http://devtracker.dfid.gov.uk/,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,2313464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51270018 SSBP Swedish Somali Business Programme,The aim of Swedish Somali Business Programme is to increase the number of productive jobs in Somalia. The Somali diaspora is expected to play a strategic role in the programme and it will therefore include components to facilitate the participation of this group. ,,,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,Sweden,Sweden,Swedish Somalia Business Project,NGOs,357143,357143,0,0,357143,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,357143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promoing Inclusive Markets in Somalia,Private Sector Development,Jul-15,Jun-18,3. Inclusive and Sustainable Economic Growth,Private Sector Development & Employment,,Denmark,Denmark/DFID,DFID,Bilateral Agency,552239,0,2835821,0,2835821,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2835821,0,0,0,0,0,0,0,0,0
Transition Initiatives for Stabilzation Plus (TIS+),"• Increase confidence in governance based on equitable participation in decision making and management of community assets. • Empower community and government representatives to engage with private sector and development actors in a collaborative process for community growth. • Increase Somali engagement in creating a more stable future. • Support inclusive, sustainable development by reducing gender gaps in stabilization and development.",May-15,May-20,2. Building effective & Efficient Institutions,Local governance,Infrastructure,USA,"USA, ",AECOM,Private Sector,66935782,10272465,16236000,0,26508465,https://twitter.com/tisplus_somalia,Significant,Significant,Principal,0.1,0.1,0.125,0,0.25,0.125,0.25,0.05,,1027246.5,1027247,1284058,0,2568116,1284058,2568116,513623,0,1623600,1623600,2029500,0,4059000,2029500,4059000,811800,0,0,0,0,0,0,0,0,0,0
Recurrent Cost & Reform Financing Facility (Phase II),To finance and support an operational payroll and payment system for the non-security sectors.,Apr-15,Dec-18,2. Building effective & Efficient Institutions,PFM & Revenue,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",Government counterparts,Government,144000000,12730785,13273030,20000000,46003815,http://www.worldbank.org/projects/P154875?lang=en,Not targeted,Principal,Not targeted,0.72,,0.016666667,0.016666667,0.09,0.14,0.016666667,,,9166165.2,0,212180,212180,1145771,1782310,212180,0,0,9556582,0,221217,221217,1194573,1858224,221217,0,0,14400000,0,333333,333333,1800000,2800000,333333,0,0
Budget support from Turkey (2016),Pledged support from Turkey (as reported by MoF),Jan-16,Dec-16,2. Building effective & Efficient Institutions,PFM & Revenue,,MoF,Turkey,FGS,Government,14000000,0,10000000,0,10000000,,Not targeted,Not targeted,Not targeted,1,,,,,,,,,0,0,0,0,0,0,0,0,0,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transition Initiatives for Stabilzation (TIS) - 2,"• Increase confidence in all levels of government through targeted, strategic interventions that improve service delivery • Support enhanced collaboration between government, private sector, and civil society • Build momentum for peace, recovery, and development across Somalia",Mar-11,Sep-16,2. Building effective & Efficient Institutions,Local governance,Infrastructure,USA,USA,DAI,Private Sector,57435291,9572549,9572549,0,19145098,http://dai.com/our-work/projects/somalia%E2%80%94transition-initiatives-stabilization-tis,Significant,Significant,Principal,0,0,0.14,0.02,0.16,0.25,0.18,0.25,,0,0,1340157,191451,1531608,2393137,1723059,2393137,0,0,0,1340157,191451,1531608,2393137,1723059,2393137,0,0,0,0,0,0,0,0,0,0
Strengthening Somali Governance (SSG),"Objective 1: Legislative, oversight, and representational functions of Somalia’s deliberative bodies improved Objective 2: Ability of targeted government institutions to carry out essential functions improved Objective 3: Citizen awareness of and engagement in government decision-making increased",Sep-14,Sep-17,2. Building effective & Efficient Institutions,CSR / Public Administration,,USA,USA,Chemonics,Private Sector,22872985,6322346,8300770,1800000,16423116,,Significant,Significant,Significant,0.7,,,,,0.1,,0.2,,4425642.2,0,0,0,0,632235,0,1264469,0,5810539,0,0,0,0,830077,0,1660154,0,1260000,0,0,0,0,180000,0,360000,0
JPLG - 12 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,2. Building effective & Efficient Institutions,CSR / Public Administration,"Technical assistance, HR and ops",UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,6542153,6696243,6364115,19602511,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,399071.3419,294397,399071,111217,366361,2237416,444866,2289754,0,408471,301331,408471,113836,374990,2290115,455345,2343685,0,388211,286385,388211,108190,356390,2176527,432760,2227440,0
JPLG - 2 (split against sectors of activity),"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,2. Building effective & Efficient Institutions,CSR / Public Administration,,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,6247301,6394446,6077288,18719035,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,381085.3679,281129,381085,106204,349849,2136577,424816,2186555,0,390061,287750,390061,108706,358089,2186901,434822,2238056,0,370715,273478,370715,103314,340328,2078432,413256,2127051,0
CDD - Baidoa [Danwadag],Meet public expectations through strengthened community engagement in basic service delivery,Feb-14,Sep-16,2. Building effective & Efficient Institutions,Local governance,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",DDG,NGOs,6702119,3723926,6049814,0,9773740,,Significant,Principal,Significant,,,,,,,1,,,0,0,0,0,0,0,3723926,0,0,0,0,0,0,0,0,6049814,0,0,0,0,0,0,0,0,0,0,0
Public Financial Management (PFM) Reform (Phase 2),Establish systems for more transparent and accountable management of public funds.,Sep-15,Jun-18,2. Building effective & Efficient Institutions,PFM & Revenue,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",Government counterparts,Government,20000000,794757,5847873,8000000,14642630,http://http://somaliampf.org,Not targeted,Principal,Not Targeted,0.5,,,,,0.3,,0.2,,397378.5,0,0,0,0,238427,0,158951,0,2923937,0,0,0,0,1754362,0,1169575,0,4000000,0,0,0,0,2400000,0,1600000,0
Accountability Programme - 1,Prime Contractor of an Implementation and Analysis in Action of Accountability Programme (IAAAP) in Somalia,Jan-15,Aug-19,2. Building effective & Efficient Institutions,PFM & Revenue,"Public administration, Civilian Peace-Building, Conflict Prevention and Resolution",UK,DFID,Mott Macdonald,Private sector,18571429,3709796,5571429,7000000,16281225,http://devtracker.dfid.gov.uk/,Significant,Significant,Significant,0.1,,0.1,0.1,0.1,0.2,0.2,0.2,,370979.5714,0,370980,370980,370980,741959,741959,741959,0,557143,0,557143,557143,557143,1114286,1114286,1114286,0,700000,0,700000,700000,700000,1400000,1400000,1400000,0
Strengthening Institutional Performance,The objective of the SIP Project is in line with the CD Flagship Programme objective to “enable the governments to fill critical capacity gaps in the civil service and to strengthen the capacity of key ministries and agencies to perform core government functions”.,Jul-15,Dec-17,2. Building effective & Efficient Institutions,CSR / Public Administration,,UNDP,"DfID, EC, UNDP, Norway, SIDA",UNDP,UN,16895581,5000000,5000000,6895581,16895581,http://www.so.undp.org/,Principal,Principal,Significant,0.5,,0.02,0.02,0.02,0.02,0.4,0.02,,2500000,0,100000,100000,100000,100000,2000000,100000,0,2500000,0,100000,100000,100000,100000,2000000,100000,0,3447791,0,137912,137912,137912,137912,2758232,137912,0
Support to the Federal Government of Somalia in Stabilization in Newly Recovered Areas,Output 1 – Federal and district-level administrations have capacity to oversee and coordinate stabilization activities Output 2 – basic governance and policing structures established; citizen participation ensured Output 3 – the project is effectively managed,Jun-15,Dec-16,2. Building effective & Efficient Institutions,Local governance,,UNDP,0,,UN,0,679750,3443670,0,4123420,,,Principal,,,,,,,,,,1,0,0,0,0,0,0,0,0,679750,0,0,0,0,0,0,0,0,3443670,0,0,0,0,0,0,0,0,0
Public Sector Capacity Injection and Institutional Strengthening,Enable the government to fill critical capacity gaps in the civil service and strengthen the capacity of key ministries and agencies to perform core government functions,Jul-15,Jun-20,2. Building effective & Efficient Institutions,CSR / Public Administration,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",Government counterparts,Government,20000000,1193813,2819931,7000000,11013744,http://http://somaliampf.org,Significant,Principal,Not targeted,0.75,,,,,0.25,,0,,895359.75,0,0,0,0,298453,0,0,0,2114948,0,0,0,0,704983,0,0,0,5250000,0,0,0,0,1750000,0,0,0
Public Resource Management in Somalia,Strengthen PFM revenue collection and generation in Federal states,,,2. Building effective & Efficient Institutions,PFM & Revenue,,UK,DFID,Under procurement,Unclear / TBD,20000000,0,2142857,3571429,5714286,http://devtracker.dfid.gov.uk/,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2142857,0,0,0,0,0,0,0,0,3571429
"Strengthening Institutions through Diaspora Assistance in Somalia (SIDA-MIDA) - Public Financial Management, Justice and Health",To contribute to the on-going process of stabilization and state-building of Somalia by developing the capacities of key government institutions through the mobilization of Somali diaspora resources.,Sep-13,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,Diaspora engagement / Capacity development,IOM,Swedish International Development Cooperation Agency,IOM,UN,4164770,2376119,1788650,0,4164769,http://www.quests-mida.org/ ,Significant,Principal,Significant,0.333333333,,,,,0.333333333,,0.333333333,,792039.6667,0,0,0,0,792040,0,792040,0,596217,0,0,0,0,596217,0,596217,0,0,0,0,0,0,0,0,0,0
CDD - Sanaag,Meet public expectations through strengthened community engagement in basic service delivery,Jan-15,Mar-16,2. Building effective & Efficient Institutions,Local governance,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",CARE,NGOs,1701370,500000,1369593,0,1869593,,Significant,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,1369593,0,0,0,0,0,0,0,0,0
CDD - Sool,Meet public expectations through strengthened community engagement in basic service delivery,Feb-15,Dec-16,2. Building effective & Efficient Institutions,Local governance,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",DDG,NGOs,1775000,590393,1316011,0,1906404,,Significant,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,590393,0,0,0,0,0,0,0,0,1316011,0,0,0,0,0,0,0,0,0
UN Joint Programme on Local Governance and Decentralised Service Delivery (JPLG) - 1,"The overall objective of the programme is to promote improvements in local governance quality that can contribute to peace consolidation, state development and equitable service delivery. To achieve this, the programme outcomes are structured around three mutually reinforcing strategies: 1) Supporting policy and legislative reforms for functional, fiscal and administrative decentralization that clarify and enhance the roles of local governments, their relation¬ships to central government, and as a means to improve local service delivery; 2) Improving local government capacity for equitable service delivery; 3) Improving and expanding the delivery of sustainable services to citizens in an equit¬able, responsive and socially accountable manner and promoting local economic environment.",Jan-13,Dec-17,2. Building effective & Efficient Institutions,Local governance,Legislation & Policies,UN JPLG ,"SIDA, EC, DFID, DENMARK, SDC  and Norway","UNDP, UNICEF, UN Habitat, UNCDF and ILO",UN,100618908,1181387,1209213,1149237,3539837,http://mptf.undp.org/factsheet/fund/JSO00,Significant,Principal,Not targeted,0.061,0.045,0.061,0.017,0.056,0.342,0.068,0.35,,72064.60712,53162,72065,20084,66158,404034,80334,413485,0,73762,54415,73762,20557,67716,413551,82226,423224,0,70103,51716,70103,19537,64357,393039,78148,402233,0
Statistical support to Somalia,The Sweden Bureau of Statistics will build the statistical capacity of Somalia Federal Government from 2015-2018.      ,,,2. Building effective & Efficient Institutions,"Planning, M&E & Statistics",,Sweden,Sweden,SCB,Bilateral Agency,3809524,0,1059524,1559524,2619048,,NA – not screened ,Principal,NA – not screened ,1,,,,,,,,,0,0,0,0,0,0,0,0,0,1059524,0,0,0,0,0,0,0,0,1559524,0,0,0,0,0,0,0,0
Financial Governance Policy Dialogue,"Provide technical advice and facilitate policy dialogue to strengthen transparency and accountability in the areas of strategic public procurement and concessions, asset recovery and other selected areas of financial governance.",May-15,Apr-17,2. Building effective & Efficient Institutions,PFM & Revenue,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",WB-Executed,IFI,2000000,327646,947235,725119,2000000,http://http://somaliampf.org,Not targeted,Significant,Not targeted,1,,,,,,,0,,327646,0,0,0,0,0,0,0,0,947235,0,0,0,0,0,0,0,0,725119,0,0,0,0,0,0,0,0
"Capacity building in the Horn, Sahel and Great Lakes Region",,Jan-14,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,Security,Netherlands,Netherlands,ISS,NGOs,2666667,888889,888889,0,1777778,,Significant,Principal,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,888889,0,0,0,0,0,0,0,0,888889,0,0,0,0,0,0,0,0,0
Supporting Remittance Flows to Somalia (SRFS),"Tackle key deficiencies affecting remittance flows to Somalia, with a particular focus on the UK-Somalia remittance corridor; accelerate and support the development of that financial system; and support the Somali Government’s plan on the formalization of the Somali financial sector.",Nov-15,Nov-17,2. Building effective & Efficient Institutions,PFM & Revenue,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",WB-Executed,IFI,3134000,0,859457,1205000,2064457,http://http://somaliampf.org,Not targeted,Principal,Not targeted,1,,,,,,,0,,0,0,0,0,0,0,0,0,0,859457,0,0,0,0,0,0,0,0,1205000,0,0,0,0,0,0,0,0
Somalia-Economic and Financial Governance Institutional Support Project,The overall development objective of the project is to strengthen macroeconomic and financial management in Somalia through improved macroeconomic framework and budget formulation.,Dec-13,Jun-18,2. Building effective & Efficient Institutions,PFM & Revenue,,AfDB,AfDB,Ministry of Finance,Government,3472222,877215,858889,1736118,3472222,http://http://www.afdb.org,Significant,Significant,Significant,1,,,,,0,,0,,877214.6806,0,0,0,0,0,0,0,0,858889,0,0,0,0,0,0,0,0,1736118,0,0,0,0,0,0,0,0
Circular Migration & Brain Drain (not exclusively Somalia),,Jan-14,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,Diaspora engagement / Capacity development,Netherlands,Netherlands,SPARK,NGOs,2181806,727269,727269,0,1454538,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,727269,0,0,0,0,0,0,0,0,727269,0,0,0,0,0,0,0,0,0
Public financial Management-Somaliland,Police reform,Sep-12,Mar-16,2. Building effective & Efficient Institutions,PFM & Revenue,,UK,DFID,Coffee/ASI,Private sector,3857143,3067401,714286,0,3781687,http://devtracker.dfid.gov.uk/,Not targeted,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,3067401,0,0,0,0,0,0,0,0,714286,0,0,0,0,0,0,0,0,0,0
"Central Bank Operations, Financial Regulation","Under this proposed program, IMF will assist Somalia authorities in setting up an effective and well- functioning central bank. ",Feb-15,Jan-18,2. Building effective & Efficient Institutions,PFM & Revenue,,IMF,"AFESD, DFID, Canada DFATD, Italy, USAID",IMF,IFI,1869604,0,577604,1292000,1869604,,NA – not screened ,Principal,NA – not screened ,1,,,,,,,,,0,0,0,0,0,0,0,0,0,577604,0,0,0,0,0,0,0,0,1292000,0,0,0,0,0,0,0,0
Anti-Corruption (XEAU77),Strengthening of anti-corruption Bureau and establishment of National AC strategy,Jul-15,Dec-16,2. Building effective & Efficient Institutions,PFM & Revenue,,UNODC,UNODC,UNODC,UN,571320,0,571320,0,571320,,Significant,Significant,Significant,0.55,,,,,0.45,,,,0,0,0,0,0,0,0,0,0,314226,0,0,0,0,257094,0,0,0,0,0,0,0,0,0,0,0,0
Berdale Danwaadaag project: Strengthening Community Engagement in Basic Service Delivery,"Immediate benefits to vulnerable populations in districts newly recovered from Al Shabbab, in line with the FGS Stabilisation Plan",Mar-16,Dec-16,2. Building effective & Efficient Institutions,Local governance,Community-driven development,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",DDG,NGOs,1000000,0,518048,0,518048,,Significant,Principal,Principal,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518048,0,0,0,0,0,0,0,0,0,0,0
Institutional Capacity Development and Policy Support,"Institutional capacity development and policy support for government and line ministries in the agriculture, livestock, fisheries and land sectors using mixed methods such as assesments, documents review & interviews",May-16,Dec-16,2. Building effective & Efficient Institutions,CSR / Public Administration,,FAO,FAO TCP,FAO,UN,1500000,567098,500000,0,1067098,http://www.fao.org/countryprofiles/index/en/?iso3=SOM ,Significant,Principal,NA – not screened ,,0.2,0.2,0.2,0.2,0,0.2,0,,0,113420,113420,113420,113420,0,113420,0,0,0,100000,100000,100000,100000,0,100000,0,0,0,0,0,0,0,0,0,0,0
FMIS configuration,Support the interim administrations to develop the core functions of government,Mar-16,Apr-16,2. Building effective & Efficient Institutions,PFM & Revenue,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Bisan,NGOs,431210,0,431210,0,431210,,Significant,Principal,Significant,,,,,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,431210,0,0,0,0,0,0,0,0,0,0,0,0,0
Somaliland Civil Service Strengthening Project,Strengthen the human resource and policy management functions of selected line ministries and central agencies.,Aug-16,Jul-20,2. Building effective & Efficient Institutions,CSR / Public Administration,,WB,"MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK, USAID) ",Government counterparts,Government,10000000,52572,426219,2350000,2828791,http://http://somaliampf.org,Significant,Principal,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,52572,0,0,0,0,0,0,0,0,426219,0,0,0,0,0,0,0,0,2350000,0
Institutional Support to Financial Governance in Somalia,"The purpose of the project is to improve financial governance in Somalia, as a foundation for overall good governance, economic development and political stability. ",Jul-15,Dec-18,2. Building effective & Efficient Institutions,PFM & Revenue,,AfDB,AfDB,"AfDB, Ministry of Finance",Government & IFI,1701771,0,425444,625000,1050444,http://http://www.afdb.org,Significant,Significant,Significant,1,,,,,,,,,0,0,0,0,0,0,0,0,0,425444,0,0,0,0,0,0,0,0,625000,0,0,0,0,0,0,0,0
MSB Somalia Programme,MSB's Somalia programme for the period September 2014-December 2015 has four components: 1) Temporary offices to Somalia's Ministry of Health; 2) Secondment of an Aid Coordinator to Somalia's Ministry of Finance; 3) Secondment of three experts to UNMAS; and 4) Secondment  of a Humanitarian Aid Coordinator to the Informal Humanitarian Donor  Group.                                                                 ,Oct-14,Mar-16,2. Building effective & Efficient Institutions,CSR / Public Administration,,Sweden,Sweden,Government of Somalia through the Ministry of Finance and Planning and The Swedish Civil Contingencies Agency (MSB),Government,1548929,953690,400238,0,1353928,,NA – not screened ,Principal,NA – not screened ,1,,,,,,,,,953690.4762,0,0,0,0,0,0,0,0,400238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
